Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Morocco,MAR,Middle East and North Africa,North Africa,, ,,0,15.79,113,18.45,125,-1,-1,20.87,81,17.0,130
Mozambique,MOZ,Sub-Saharan Africa,Southern Africa,,"Luisa Diogo (February 17, 2004 to January 16, 2010)",Luisa Diogo,1,42.86,21,42.40,13,-1,-1,-1,-1,52.4,18
Myanmar,MMR,Asia and the Pacific,South Asia,, ,,0,3.85,178,11.45,163,13.44,89,-2,-2,8.1,178
Namibia,NAM,Sub-Saharan Africa,Southern Africa,, ,,0,14.81,122,36.30,33,-1,-1,45.09,9,39.1,41
Nauru,NRU,Asia and the Pacific,Australasia and Pacific,, ,,0,14.29,123,10.53,166,-1,-1,-1,-1,9.5,177
Nepal,NPL,Asia and the Pacific,South Asia,Bidhya Devi Bhandari,"Bidhya Devi Bhandari (October 29, 2015 to Incumbent)",Bidhya Devi Bhandari (current),1,10.53,146,33.63,43,-1,-1,40.96,15,34.7,56
Netherlands,NLD,Europe,Western Europe,, ,,0,44.44,20,35.11,37,35.28,26,31.79,39,47,25
New Zealand,NZL,Asia and the Pacific,Australasia and Pacific,Jacinda Ardern,"Jenny Shipley (December 5, 1997 to December 5, 1999), Helen Clark (December 5, 1999 to November 19, 2008), Jacinda Ardern (October 26, 2017 to Incumbent)","Jenny Shipley, Helen Clark, Jacinda Ardern (current)",3,30.00,50,40.83,17,35.58,25,39.41,19,50.9,20
Nicaragua,NIC,Americas,Central America,,"Violeta Chamorro (April 25, 1990 to January 10, 1997)",Violeta Chamorro,1,58.82,1,47.25,6,-1,-1,-1,-1,66.5,6
Niger,NER,Sub-Saharan Africa,West Africa,, ,,0,12.82,132,16.96,132,-1,-1,15.8,96,13.5,149
Nigeria,NGA,Sub-Saharan Africa,West Africa,, ,,0,10.34,147,4.50,186,10.69,97,9.78,115,7.8,179
North Macedonia,MKD,Europe,Southeastern Europe,, ,,0,21.74,84,35.83,34,42.31,10,-1,-1,39.2,40
Norway,NOR,Europe,Northern Europe,Erna Solberg,"Gro Harlem Brundtland (February 4, 1981 to October 14, 1981), Gro Harlem Brundtland (May 9, 1986 to October 16, 1989), Gro Harlem Brundtland (November 3, 1990 to October 25, 1996), Erna Solberg (October 16, 2013 to Incumbent)","Gro Harlem Brundtland, Erna Solberg (current)",2,42.86,21,41.42,16,42.07,11,40.84,16,63.3,8
Oman,OMN,Middle East and North Africa,Middle East,, ,,0,11.11,139,9.88,169,6.28,110,3.47,126,6.8,182
Pakistan,PAK,Asia and the Pacific,South Asia,,"Benazir Bhutto (December 2, 1988 to July 6, 1990), Benazir Bhutto (October 19, 1993 to November 5, 1996)",Benazir Bhutto,1,12,136,19.96,111,-1,-1,16.85,93,16.4,133
Palau,PLW,Asia and the Pacific,Australasia and Pacific,, ,,0,25,64,13.79,151,18.18,74,-1,-1,17.9,123
Panama,PAN,Americas,Central America,,"Mireya Moscoso (September 1, 1999 to September 1, 2004)",Mireya Moscoso,1,31.58,44,22.54,92,16.70,79,9.01,117,22.5,98
Papua New Guinea,PNG,Asia and the Pacific,Australasia and Pacific,, ,,0,0,182,0,188,5.01,114,-1,-1,1.3,193
Paraguay,PRY,Americas,South America,, ,,0,29.41,52,17.60,127,36.39,24,20.82,82,29.3,74
Peru,PER,Americas,South America,, ,,0,55.00,1,26.15,74,40.41,17,26.17,67,47.7,24
Philippines,PHL,Asia and the Pacific,South Asia,,"Corazon Aquino (February 25, 1986 to June 30, 1992), Gloria Macapagal Arroyo (January 20, 2001 to June 30, 2010)","Corazon Aquino, Gloria Macapagal Arroyo",2,8.57,155,28.05,63,17.74,75,29,48,27.5,83
Poland,POL,Europe,Eastern Europe,,"Hanna Suchocka (July 11, 1992 to October 25, 1993), Ewa Kopacz (September 22, 2014 to November 16, 2015), Beata Szydlo (November 16, 2015 to December 11, 2017)","Hanna Suchocka, Ewa Kopacz, Beata Szydło",3,17.39,104,27.86,65,40.98,16,26.93,60,34.5,58
Portugal,PRT,Europe,Western Europe,,"Maria de Lourdes Pintasilgo (August 1, 1979 to January 3, 1980)",Maria de Lourdes Pintasilgo,1,42.11,24,40.00,19,46.92,3,-1,-1,57.1,15
Qatar,QAT,Middle East and North Africa,Middle East,, ,,0,7.14,162,9.76,170,-1,-1,-2,-2,6.2,184
Republic of Congo,COG,Sub-Saharan Africa,Central Africa,, ,,0,21.21,88,13.64,153,-1,-1,-1,-1,14.2,144
South Korea,KOR,Asia and the Pacific,East Asia,,"Park Geun-hye (February 25, 2013 to December 9, 2016)",Park Geun-hye,1,33.33,35,19.00,120,26.92,51,18.59,84,27.7,82
Romania,ROU,Europe,Southeastern Europe,,"Viorica Dancila (January 29, 2018 to November 4, 2019)",Viorica Dancila,1,17.65,101,19.78,113,27.75,49,12.51,108,20.2,109
Russia,RUS,Russia and Central Asia,Russia,, ,,0,12.90,131,16.13,137,-1,-1,-1,-1,11.3,168
Rwanda,RWA,Sub-Saharan Africa,East Africa,,"Agathe Uwilingiyimana (July 18, 1993 to April 7, 1994)",Agathe Uwilingiyimana,1,53.57,1,55.66,1,-1,-1,43.62,13,69.6,2
Saint Kitts and Nevis,KNA,Americas,Caribbean,, ,,0,11.11,139,20.00,108,8.70,104,-2,-2,11.8,163
Saint Lucia,LCA,Americas,Caribbean,, ,,0,15.38,116,20.69,104,15.38,83,-2,-2,15.6,138
Saint Vincent and the Grenadines,VCT,Americas,Caribbean,, ,,0,0,182,13.04,158,13.95,87,-2,-2,7.8,179
Samoa,WSM,Asia and the Pacific,Australasia and Pacific,, ,,0,16.67,109,10,167,14.04,86,-2,-2,11.9,160
San Marino,SMR,Europe,Western Europe,, ,,0,10.00,148,33.33,45,40.07,20,-2,-2,32.0,62
Sao Tome and Principe,STP,Sub-Saharan Africa,West Africa,,"Maria das Neves (October 3, 2002 to September 18, 2004), Maria do Carmo Silveira (June 8, 2005 to April 21, 2006)","Maria das Neves, Maria do Carmo Silveira",2,33.33,35,14.55,145,-1,-1,-1,-1,23.6,93
Saudi Arabia,SAU,Middle East and North Africa,Middle East,, ,,0,0,182,19.87,112,-1,-1,1.14,129,6.5,183
