Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Belgium,6/1/07,2.80,0.047742758,1.944422955
Belgium,9/1/07,2.30,0.042350768,1.963803955
Belgium,12/1/07,0.00,0.019859094,1.983184955
Belgium,3/1/08,-1.60,-0.003577976,1.197535362
Belgium,6/1/08,-1.60,-0.012374717,0.411885769
Belgium,9/1/08,-2.30,-0.026858395,-0.373763825
Belgium,12/1/08,-2.50,-0.036996391,-1.159413418
Belgium,3/1/09,-3.70,-0.041767883,-0.437436046
Belgium,6/1/09,-4.00,-0.036846706,0.284541325
Belgium,9/1/09,-1.30,-0.00278709,1.006518697
Belgium,12/1/09,0.60,0.023278834,1.728496068
Belgium,3/1/10,1.10,0.026189224,1.532015572
Belgium,6/1/10,2.30,0.036143824,1.335535075
Belgium,9/1/10,0.90,0.020565483,1.139054578
Belgium,12/1/10,1.00,0.019254419,0.942574082
Belgium,3/1/11,0.90,0.015259556,0.628715868
Belgium,6/1/11,-0.50,-0.001568828,0.314857655
Belgium,9/1/11,-0.60,-0.00620871,0.000999442
Belgium,12/1/11,-0.30,-0.006524546,-0.312858771
Belgium,3/1/12,-0.20,-0.003281016,-0.109348766
Belgium,6/1/12,0.10,0.002368518,0.09416124
Belgium,9/1/12,-0.40,-0.00066105,0.297671246
Belgium,12/1/12,-0.80,-0.00296175,0.501181252
Belgium,3/1/13,-0.70,-0.001762501,0.570978525
Belgium,6/1/13,-0.10,0.00554407,0.640775798
Belgium,9/1/13,-0.10,0.005839698,0.710573071
Belgium,12/1/13,0.70,0.014577125,0.780370344
Belgium,3/1/14,0.60,0.014968444,0.919556605
Belgium,6/1/14,0.40,0.014543052,1.058742865
Belgium,9/1/14,1.80,0.03024103,1.197929126
Belgium,12/1/14,1.60,0.029553405,1.337115387
Belgium,3/1/15,2.10,0.03533556,1.39014957
Belgium,6/1/15,1.90,0.033407367,1.443183753
Belgium,9/1/15,0.90,0.024347436,1.496217936
Belgium,12/1/15,0.40,0.01969307,1.549252119
Belgium,3/1/16,-1.00,0.004575796,1.445473378
Belgium,6/1/16,0.40,0.017300489,1.341694637
Belgium,9/1/16,0.00,0.012240967,1.237915895
Belgium,12/1/16,0.50,0.016563701,1.134137154
Belgium,3/1/17,1.30,0.02324624,1.030228289
Belgium,6/1/17,0.60,0.015109011,0.926319424
Belgium,9/1/17,0.20,0.010699379,0.822410559
Belgium,12/1/17,0.70,0.013722859,0.718501694
Belgium,3/1/18,0.40,0.010126864,0.584766721
Belgium,6/1/18,0.60,0.010849506,0.451031747
Belgium,9/1/18,0.20,0.005663981,0.317296774
Belgium,12/1/18,0.90,0.010487251,0.183561801
Belgium,3/1/19,0.40,0.008479619,0.419464504
Belgium,6/1/19,0.40,0.010111426,0.655367208
Belgium,9/1/19,1.20,0.021199483,0.891269911
Belgium,12/1/19,#N/A,#N/A,1.127172615
Belgium,3/1/20,#N/A,#N/A,#N/A
Belgium,6/1/20,#N/A,#N/A,#N/A
Belgium,9/1/20,#N/A,#N/A,#N/A
Belgium,12/1/20,#N/A,#N/A,#N/A
Canada,3/1/99,#N/A,#N/A,#N/A
Canada,6/1/99,#N/A,#N/A,#N/A
Canada,9/1/99,#N/A,#N/A,#N/A
Canada,12/1/99,#N/A,#N/A,#N/A
Canada,3/1/00,#N/A,0.073083006,#N/A
Canada,6/1/00,#N/A,0.080230737,#N/A
Canada,9/1/00,#N/A,0.067254157,#N/A
Canada,12/1/00,#N/A,0.053816285,#N/A
Canada,3/1/01,1.80,0.046296543,2.800780421
Canada,6/1/01,-1.80,0.010298936,2.800780421
Canada,9/1/01,-4.00,-0.012257048,2.800780421
Canada,12/1/01,-3.10,-0.003161329,2.800780421
Canada,3/1/02,-3.70,-0.010921951,2.604265534
Canada,6/1/02,-0.40,0.020317741,2.407750646
Canada,9/1/02,1.20,0.034154833,2.211235759
Canada,12/1/02,1.40,0.034018166,2.014720871
Canada,3/1/03,1.30,0.035474049,2.230310081
Canada,6/1/03,-1.20,0.012179366,2.445899291
Canada,9/1/03,-0.20,0.024180849,2.6614885
Canada,12/1/03,-0.70,0.021734456,2.87707771
Canada,3/1/04,-0.20,0.028671812,3.080999513
Canada,6/1/04,1.30,0.046055443,3.284921316
Canada,9/1/04,1.90,0.05354062,3.488843119
Canada,12/1/04,1.40,0.050572991,3.692764922
Canada,3/1/05,1.10,0.046279451,3.550811067
Canada,6/1/05,0.30,0.037069008,3.408857211
Canada,9/1/05,0.10,0.034151368,3.266903355
Canada,12/1/05,1.60,0.047526121,3.124949499
Canada,3/1/06,0.80,0.038368801,3.027457995
Canada,6/1/06,0.70,0.036614965,2.929966491
Canada,9/1/06,0.30,0.030979019,2.832474986
Canada,12/1/06,-0.40,0.023714048,2.734983482
Canada,3/1/07,-0.10,0.027210702,2.797491644
Canada,6/1/07,0.30,0.031796913,2.859999805
Canada,9/1/07,0.80,0.037091382,2.922507966
Canada,12/1/07,0.20,0.031735793,2.985016128
Canada,3/1/08,0.00,0.030714002,3.083517709
Canada,6/1/08,-0.40,0.02741201,3.182019289
Canada,9/1/08,1.20,0.04512988,3.28052087
Canada,12/1/08,-3.40,0.000191798,3.379022451
Canada,3/1/09,-7.20,-0.049340694,2.224271535
Canada,6/1/09,-8.20,-0.070950022,1.069520618
Canada,9/1/09,-7.10,-0.072115517,-0.085230298
Canada,12/1/09,-1.10,-0.023835739,-1.239981214
Canada,3/1/10,3.10,0.02777178,-0.361036071
Canada,6/1/10,4.50,0.050313498,0.517909073
Canada,9/1/10,2.50,0.039404621,1.396854217
Canada,12/1/10,2.60,0.048634187,2.27579936
Canada,3/1/11,1.60,0.038097012,2.247230205
Canada,6/1/11,0.50,0.026999221,2.218661049
Canada,9/1/11,1.70,0.039369676,2.190091893
Canada,12/1/11,1.30,0.034258685,2.161522738
Canada,3/1/12,-0.80,0.013705581,2.16415345
Canada,6/1/12,-0.50,0.017028748,2.166784161
Canada,9/1/12,-0.70,0.014778201,2.169414873
Canada,12/1/12,-0.80,0.013565644,2.172045585
Canada,3/1/13,-1.00,0.014620943,2.448621377
Canada,6/1/13,-0.50,0.022260319,2.725197169
Canada,9/1/13,1.60,0.045806869,3.001772961
Canada,12/1/13,0.80,0.040744413,3.278348753
Canada,3/1/14,1.00,0.040355491,3.057947303
Canada,6/1/14,1.10,0.038961898,2.837545852
Canada,9/1/14,-0.10,0.025438185,2.617144402
Canada,12/1/14,-1.10,0.013292057,2.396742951
Canada,3/1/15,-1.80,1.34747E-05,1.775481429
Canada,6/1/15,-2.40,-0.012947225,1.154219908
Canada,9/1/15,-2.30,-0.017323357,0.532958386
Canada,12/1/15,-2.10,-0.021905474,-0.088303136
Canada,3/1/16,-0.90,-0.008032608,0.13802174
Canada,6/1/16,-1.10,-0.007120387,0.364346615
Canada,9/1/16,0.00,0.005646914,0.590671491
Canada,12/1/16,1.90,0.026756623,0.816996366
Canada,3/1/17,1.90,0.031219349,1.1736222
Canada,6/1/17,4.00,0.055288371,1.530248035
Canada,9/1/17,2.20,0.040678418,1.886873869
Canada,12/1/17,0.80,0.030377492,2.243499703
Canada,3/1/18,0.40,0.023245995,1.950889526
Canada,6/1/18,-0.10,0.015198091,1.658279349
Canada,9/1/18,0.00,0.013798349,1.365669173
Canada,12/1/18,-0.90,0.001575455,1.073058996
Canada,3/1/19,-0.20,0.009400221,1.126678479
Canada,6/1/19,0.40,0.016128508,1.180297962
Canada,9/1/19,#N/A,#N/A,1.233917446
Canada,12/1/19,#N/A,#N/A,1.287536929
Canada,3/1/20,#N/A,#N/A,#N/A
Canada,6/1/20,#N/A,#N/A,#N/A
Canada,9/1/20,#N/A,#N/A,#N/A
Canada,12/1/20,#N/A,#N/A,#N/A
Cyprus,3/1/99,#N/A,#N/A,#N/A
Cyprus,6/1/99,#N/A,#N/A,#N/A
Cyprus,9/1/99,#N/A,#N/A,#N/A
Cyprus,12/1/99,#N/A,#N/A,#N/A
Cyprus,3/1/00,#N/A,0.067169258,#N/A
Cyprus,6/1/00,#N/A,0.07504032,#N/A
Cyprus,9/1/00,#N/A,0.02438292,#N/A
Cyprus,12/1/00,#N/A,0.018460454,#N/A
Cyprus,3/1/01,-1.20,0.044296838,5.67761221
Cyprus,6/1/01,-1.40,0.042651515,5.67761221
Cyprus,9/1/01,2.30,0.079674304,5.67761221
Cyprus,12/1/01,0.30,0.05967842,5.67761221
Cyprus,3/1/02,-2.00,0.026544195,4.666041728
Cyprus,6/1/02,-3.20,0.004653301,3.654471245
Cyprus,9/1/02,-4.60,-0.019554855,2.642900763
Cyprus,12/1/02,2.20,0.037972343,1.631330281
Cyprus,3/1/03,0.60,0.027206935,2.13560972
Cyprus,6/1/03,-1.00,0.016197965,2.639889159
Cyprus,9/1/03,1.00,0.041317412,3.144168597
Cyprus,12/1/03,3.20,0.068426697,3.648448036
Cyprus,3/1/04,3.70,0.076257981,3.926294232
Cyprus,6/1/04,0.80,0.049658739,4.204140429
Cyprus,9/1/04,2.40,0.069174783,4.481986625
Cyprus,12/1/04,-2.20,0.025811178,4.759832821
Cyprus,3/1/05,-0.40,0.042145296,4.60222823
Cyprus,6/1/05,1.50,0.059757433,4.444623638
Cyprus,9/1/05,0.30,0.046246744,4.287019047
Cyprus,12/1/05,-1.60,0.025031771,4.129414456
Cyprus,3/1/06,0.40,0.044212318,4.035885742
Cyprus,6/1/06,1.30,0.052896579,3.942357028
Cyprus,9/1/06,1.70,0.055977332,3.848828314
Cyprus,12/1/06,2.90,0.066857138,3.7552996
Cyprus,3/1/07,3.80,0.073692392,3.537345522
Cyprus,6/1/07,3.70,0.07066147,3.319391444
Cyprus,9/1/07,3.90,0.069551403,3.101437366
Cyprus,12/1/07,3.40,0.062491274,2.883483289
Cyprus,3/1/08,2.70,0.052598775,2.591746628
Cyprus,6/1/08,2.30,0.045952536,2.300009966
Cyprus,9/1/08,1.40,0.03420793,2.008273305
Cyprus,12/1/08,0.00,0.017136127,1.716536644
Cyprus,3/1/09,-3.30,-0.017412584,1.60254901
Cyprus,6/1/09,-4.60,-0.031338128,1.488561375
Cyprus,9/1/09,-4.00,-0.025959567,1.37457374
Cyprus,12/1/09,-2.00,-0.007648411,1.260586106
Cyprus,3/1/10,-0.50,0.005992822,1.073402045
Cyprus,6/1/10,0.80,0.016965913,0.886217983
Cyprus,9/1/10,1.00,0.016756104,0.699033922
Cyprus,12/1/10,1.30,0.018433706,0.511849861
Cyprus,3/1/11,-0.40,-0.002993728,0.107382083
Cyprus,6/1/11,-0.50,-0.007688974,-0.297085696
Cyprus,9/1/11,-1.40,-0.020807402,-0.701553474
