Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Australia,3/1/04,0.7,4.5,3.8
Australia,6/1/04,1.2,4.6,3.4
Australia,9/1/04,1.2,4.1,3
Australia,12/1/04,0.1,2.7,2.6
Australia,3/1/05,0.2,3,2.8
Australia,6/1/05,0.1,3.1,3
Australia,9/1/05,-0.1,3.1,3.1
Australia,12/1/05,-0.2,3.1,3.3
Australia,3/1/06,-0.8,2.5,3.3
Australia,6/1/06,-0.7,2.5,3.2
Australia,9/1/06,0.1,3.3,3.1
Australia,12/1/06,-0.2,2.8,3.1
Australia,3/1/07,1.1,4.3,3.2
Australia,6/1/07,1.8,5.1,3.3
Australia,9/1/07,0.9,4.2,3.4
Australia,12/1/07,0.7,4.1,3.5
Australia,3/1/08,-0.7,3.1,3.8
Australia,6/1/08,-1,3.1,4.1
Australia,9/1/08,-2,2.4,4.4
Australia,12/1/08,-3.1,1.6,4.7
Australia,3/1/09,-2.3,1.9,4.2
Australia,6/1/09,-1.8,1.8,3.7
Australia,9/1/09,-1.6,1.6,3.1
Australia,12/1/09,-0.4,2.2,2.6
Australia,3/1/10,-0.6,1.7,2.3
Australia,6/1/10,0.7,2.7,2.1
Australia,9/1/10,0.8,2.6,1.8
Australia,12/1/10,1.2,2.7,1.5
Australia,3/1/11,0.3,2.1,1.8
Australia,6/1/11,0.3,2.4,2.1
Australia,9/1/11,0.6,3,2.4
Australia,12/1/11,0.5,3.3,2.8
Australia,3/1/12,1.9,4.7,2.8
Australia,6/1/12,1.7,4.6,2.9
Australia,9/1/12,0.7,3.7,3
Australia,12/1/12,-0.3,2.8,3
Australia,3/1/13,-0.9,2.2,3.1
Australia,6/1/13,-1.2,1.8,3.1
Australia,9/1/13,-1,2.1,3.1
Australia,12/1/13,-0.6,2.5,3.1
Australia,3/1/14,0,3,3
Australia,6/1/14,-0.2,2.7,2.8
Australia,9/1/14,-0.1,2.7,2.7
Australia,12/1/14,-0.5,2.1,2.6
Australia,3/1/15,-0.1,2.5,2.6
Australia,6/1/15,-0.4,2.2,2.6
Australia,9/1/15,0,2.7,2.6
Australia,12/1/15,-0.1,2.5,2.6
Australia,3/1/16,0.2,2.7,2.5
