Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Cyprus,CYP,Europe,Southeastern Europe,,,0,18.18,106,17.86,122,21.91,60,-1,-1,18,120
Czech Republic,CZE,Europe,Eastern Europe,,,0,28.57,49,20.64,101,28.30,46,27.90,48,28.8,72
North Korea,PRK,Asia and the Pacific,East Asia,,,0,-1,-1,17.61,123,17.61,70,-1,-1,14.3,137
Democratic Republic of Congo,COD,Sub-Saharan Africa,Central Africa,,,0,-1,-1,11.99,160,-1,-1,-1,-1,6.8,179
Denmark,DNK,Europe,Northern Europe,Mette Frederiksen,"Helle Thorning-Schmidt, Mette Frederiksen (current)",2,42.86,13,39.11,21,34.33,26,33.30,29,49.5,18
Djibouti,DJI,Sub-Saharan Africa,East Africa,,,0,10,143,26.15,64,-1,-1,28.90,41,21.8,94
Dominica,DMA,Americas,Caribbean,,Dame Eugenia Charles,1,29.41,43,25,68,30.95,41,-1,-1,36.2,48
Dominican Republic,DOM,Americas,Caribbean,,,0,16.67,111,24.32,73,35.82,22,28.30,46,29.5,68
East Timor,TLS,Asia and the Pacific,South Asia,,,0,18.18,106,38.46,26,-1,-1,-1,-1,28.2,75
Ecuador,ECU,Americas,South America,,,0,22.22,83,37.96,28,-1,-1,25.70,62,31.1,61
Egypt,EGY,Middle East and North Africa,North Africa,,,0,24.24,73,14.93,139,5.68,109,-2,-2,13.9,141
El Salvador,SLV,Americas,Central America,,,0,33.33,33,30.95,48,20.36,62,32.40,30,33.7,56
Equatorial Guinea,GNQ,Sub-Saharan Africa,Central Africa,,,0,6.67,160,19.19,115,-1,-1,26.90,51,16.9,126
Eritrea,ERI,Sub-Saharan Africa,East Africa,,,0,-1,-1,22,90,-1,-1,-1,-1,14.1,139
Estonia,EST,Europe,Northern Europe,Kersti Kaljulaid,Kersti Kaljulaid (current),1,35.71,27,29.70,52,32.12,32,28.60,43,38,42
Eswatini,SWZ,Sub-Saharan Africa,Southern Africa,,,0,31.58,38,12.12,159,15.18,79,-1,-1,19.5,109
Ethiopia,ETH,Sub-Saharan Africa,East Africa,Sahle-Work Zewde,Sahle-Work Zewde (current),1,47.62,11,37.29,30,-1,-1,-1,-1,50.7,17
Fiji,FJI,Asia and the Pacific,Australasia and Pacific,,,0,23.08,78,19.61,110,23.83,54,-1,-1,21.4,97
Finland,FIN,Europe,Northern Europe,Sanna Marin,"Tarja Halonen, Anneli Jäätteenmäki, Mari Kiviniemi, Sanna Marin (current)",4,37.50,23,47,7,41.98,10,39,17,60.8,8
France,FRA,Europe,Western Europe,,Édith Cresson,1,50,1,36.86,32,42.43,8,40.40,14,60.2,9
Gabon,GAB,Sub-Saharan Africa,Central Africa,,,0,17.86,110,17.95,120,-1,-1,-1,-1,14.5,136
Gambia,GMB,Sub-Saharan Africa,West Africa,,,0,11.11,140,10.34,168,8.79,100,-1,-1,8.4,173
Georgia,GEO,Europe,Caucasus,Salome Zurabishvili,Salome Zurabishvili (current),1,27.27,56,14.77,143,17.52,71,13.50,90,18.6,116
Germany,DEU,Europe,Western Europe,Angela Merkel,Angela Merkel (current),1,40,19,31.62,45,29.00,44,27,50,42.8,26
Ghana,GHA,Sub-Saharan Africa,West Africa,,,0,25,64,13.09,155,11.83,90,4.70,107,13.3,147
Greece,GRC,Europe,Southeastern Europe,,,0,25,64,20.67,99,-1,-1,-1,-1,19.8,104
Grenada,GRD,Americas,Caribbean,,,0,41.67,18,39.29,19,31.11,40,-1,-1,45.3,23
Guatemala,GTM,Americas,Central America,,,0,6.67,160,19.38,113,-1,-1,10.60,98,10.8,163
Guinea,GIN,Sub-Saharan Africa,West Africa,,,0,11.76,137,22.81,84,-1,-1,15.40,86,15.3,133
Guinea-Bissau,GNB,Sub-Saharan Africa,West Africa,,,0,16.67,111,13.73,148,-1,-1,-1,-1,12,156
Guyana,GUY,Americas,South America,,Janet Jagan,1,22.22,83,31.88,44,-1,-1,-1,-1,25.9,80
Haiti,HTI,Americas,Caribbean,,"Claudette Werleigh, Michèle Pierre-Louis",2,27.78,53,2.74,188,8.02,103,-1,-1,13.0,150
Honduras,HND,Americas,Central America,,,0,32,36,21.09,96,-1,-1,-1,-1,24.6,83
Hungary,HUN,Europe,Eastern Europe,,,0,7.69,155,12.56,157,26.84,50,28.50,44,19.9,103
Iceland,ISL,Europe,Northern Europe,Katrín Jakobsdóttir,"Vigdís Finnbogadóttir, Jóhanna Sigurðardóttir, Katrín Jakobsdóttir (current)",3,40,19,38.10,27,44.61,5,47,6,68.1,3
India,IND,Asia and the Pacific,South Asia,,"Indira Gandhi, Pratibha Patil",2,23.08,78,13.49,150,-1,-1,44.40,10,41.1,29
Indonesia,IDN,Asia and the Pacific,South Asia,,Megawati Sukarnoputri,1,23.53,75,17.39,124,-1,-1,14.40,89,18.3,119
Iran,IRN,Middle East and North Africa,Middle East,,,0,6.45,164,5.88,181,9.41,96,3.20,111,5.4,186
Iraq,IRQ,Middle East and North Africa,Middle East,,,0,0,178,25.23,67,28.77,45,25.70,62,21.7,95
Ireland,IRL,Europe,Western Europe,,"Mary Robinson, Mary McAleese",2,26.67,60,24.31,73,29.53,43,20.10,74,34.8,51
Israel,ISR,Middle East and North Africa,Middle East,,Golda Meir,1,19.05,100,23.33,79,-1,-1,17.10,82,20.5,101
Italy,ITA,Europe,Western Europe,,,0,27.78,53,35.26,34,-1,-1,30.40,38,34.2,54
Ivory Coast,CIV,Sub-Saharan Africa,West Africa,,,0,15,120,13.28,153,12.43,89,15,87,12.9,151
Jamaica,JAM,Americas,Caribbean,,Portia Simpson-Miller,1,23.53,75,19.05,117,17.11,73,18.40,78,21.1,99
Japan,JPN,Asia and the Pacific,East Asia,,,0,5.26,171,14.51,144,20.19,63,12.90,93,12.5,154
Jordan,JOR,Middle East and North Africa,Middle East,,,0,20.83,95,15.38,137,20.13,64,31.80,32,23.3,89
Kazakhstan,KAZ,Russia and Central Asia,Central Asia,,,0,5.56,168,22.08,89,20.09,65,22.20,70,17.6,123
Kenya,KEN,Sub-Saharan Africa,East Africa,,,0,25,64,23.26,80,-1,-1,33.50,28,28.5,73
Kiribati,KIR,Asia and the Pacific,Australasia and Pacific,,,0,0,178,6.52,178,13.53,85,-1,-1,5.7,184
Kuwait,KWT,Middle East and North Africa,Middle East,,,0,13.33,130,4.62,184,4.78,112,-2,-2,6.3,181
Kyrgyzstan,KGZ,Russia and Central Asia,Central Asia,,Roza Otunbayeva,1,14.29,123,19.17,115,-1,-1,-1,-1,14.2,138
Laos,LAO,Asia and the Pacific,South Asia,,,0,11.54,139,27.52,60,23.70,55,32.20,31,25.9,80
Latvia,LVA,Europe,Northern Europe,,"Vaira Vīķe-Freiberga, Laimdota Straujuma",2,30.77,40,30,49,31.76,36,34,24,40.2,31
Lebanon,LBN,Middle East and North Africa,Middle East,,,0,3.45,176,4.69,183,11.37,91,4,109,5.1,188
Lesotho,LSO,Sub-Saharan Africa,Southern Africa,,,0,14.81,121,23.03,81,31.37,38,-1,-1,23.3,89
Liberia,LBR,Sub-Saharan Africa,West Africa,,Ellen Johnson Sirleaf,1,-1,-1,11.65,162,16.24,75,-2,-2,17.2,125
Libya,LBY,Middle East and North Africa,North Africa,,,0,-1,-1,15.96,135,8.87,99,-1,-1,9.6,167
Liechtenstein,LIE,Europe,Western Europe,,,0,40,19,12,160,22.54,56,39.10,16,34.7,52
Lithuania,LTU,Europe,Northern Europe,,"Kazimira Prunskienė, Dalia Grybauskaitė",2,0,178,21.28,93,31.24,39,24.60,69,24.4,85
Luxembourg,LUX,Europe,Western Europe,,,0,29.41,43,25,68,45.52,4,25.10,67,38.4,38
Madagascar,MDG,Sub-Saharan Africa,East Africa,,,0,27.27,56,16.90,128,-1,-1,-1,-1,19.3,112
Malawi,MWI,Sub-Saharan Africa,East Africa,,Joyce Banda,1,16.67,111,22.92,83,22.20,59,14.60,88,19.7,106
Malaysia,MYS,Asia and the Pacific,South Asia,,,0,18.52,104,15.52,136,8.75,100,-1,-1,12.7,152
Maldives,MDV,Asia and the Pacific,South Asia,,,0,28,51,4.60,184,-1,-1,6.10,106,12.6,153
Mali,MLI,Sub-Saharan Africa,West Africa,,Cissé Mariam Kaïdama Sidibé,1,34.38,31,9.52,171,13.67,84,25.30,64,22.8,91
Malta,MLT,Europe,Western Europe,,"Agatha Barbara, Marie-Louise Coleiro Preca",2,14.29,123,14.93,141,-1,-1,21.90,71,19.4,110
Marshall Islands,MHL,Asia and the Pacific,Australasia and Pacific,,Hilda Heine,1,10,143,9.09,173,-1,-1,17,83,11.8,158
Mauritania,MRT,Sub-Saharan Africa,West Africa,,,0,31.82,37,20.26,105,-1,-1,31.40,34,29.5,68
Mauritius,MUS,Sub-Saharan Africa,East Africa,,Ameenah Gurib,1,8.70,150,11.59,163,-1,-1,26.20,57,15.5,131
Mexico,MEX,Americas,North America,,,0,42.11,16,48.41,5,-1,-1,37.40,19,56.6,13
Micronesia,FSM,Asia and the Pacific,Australasia and Pacific,,,0,22.22,83,0,190,6.45,106,-1,-1,8.9,171
Moldova,MDA,Europe,Southeastern Europe,,"Zinaida Greceanîi, Maia Sandu",2,36.36,25,25.74,66,34.80,25,28.90,41,37.7,43
Monaco,MCO,Europe,Western Europe,,,0,20,97,33.33,40,-1,-1,-1,-1,25,82
Mongolia,MNG,Asia and the Pacific,East Asia,,,0,13.33,130,17.33,126,25.90,52,26.70,54,21.6,96
Montenegro,MNE,Europe,Southeastern Europe,,,0,21.05,94,28.40,57,32.14,31,27.80,49,30.5,66
Morocco,MAR,Middle East and North Africa,North Africa,,,0,5.56,168,18.45,119,-1,-1,20.90,72,13.7,142
Mozambique,MOZ,Sub-Saharan Africa,Southern Africa,,Luísa Diogo,1,28.57,49,41.20,14,-1,-1,-1,-1,39.6,32
Myanmar,MMR,Asia and the Pacific,South Asia,,,0,3.70,175,11.57,163,13.44,86,-2,-2,8.1,175
Namibia,NAM,Sub-Saharan Africa,Southern Africa,,,0,20,97,39.73,18,-1,-1,45.10,9,43.3,25
Nauru,NRU,Asia and the Pacific,Australasia and Pacific,,,0,20,97,10.53,167,-1,-1,-1,-1,12.3,155
Nepal,NPL,Asia and the Pacific,South Asia,Bidhya Devi Bhandari,Bidhya Devi Bhandari (current),1,14.29,123,33.53,39,-1,-1,41,12,35.7,49
Netherlands,NLD,Europe,Western Europe,,,0,35.29,29,33.78,38,35.28,24,31.70,33,41.3,28
New Zealand,NZL,Asia and the Pacific,Australasia and Pacific,Jacinda Ardern,"Jenny Shipley, Helen Clark, Jacinda Ardern (current)",3,30.77,40,40.83,15,35.58,23,31.20,36,47.1,21
Nicaragua,NIC,Americas,Central America,,Violeta Chamorro,1,55.56,1,44.57,10,-1,-1,-1,-1,63.4,5
Niger,NER,Sub-Saharan Africa,West Africa,,,0,13.51,129,16.96,127,-1,-1,-1,-1,12,156
Nigeria,NGA,Sub-Saharan Africa,West Africa,,,0,8,153,4.11,186,10.69,93,9.80,102,7.2,177
North Macedonia,MKD,Europe,Southeastern Europe,,,0,16,117,39.17,20,-1,-1,-1,-1,27.8,78
Norway,NOR,Europe,Northern Europe,Erna Solberg,"Gro Harlem Brundtland, Erna Solberg (current)",2,42.11,16,40.83,15,42.07,9,39.40,15,61.5,6
Oman,OMN,Middle East and North Africa,Middle East,,,0,6.67,160,9.36,172,6.28,107,3.50,110,5.5,185
Pakistan,PAK,Asia and the Pacific,South Asia,,Benazir Bhutto,1,12,136,20,106,-1,-1,16.80,84,16.4,129
Palau,PLW,Asia and the Pacific,Australasia and Pacific,,,0,25,64,13.79,147,18.18,68,-1,-1,17.9,121
Panama,PAN,Americas,Central America,,Mireya Moscoso,1,26.67,60,21.13,95,16.70,74,10.40,100,20.4,102
Papua New Guinea,PNG,Asia and the Pacific,Australasia and Pacific,,,0,0,178,0,190,5.01,110,-1,-1,1.3,193
Paraguay,PRY,Americas,South America,,,0,21.43,90,16.80,129,36.39,21,20.80,73,26.2,79
Peru,PER,Americas,South America,,,0,27.78,53,30,49,-1,-1,26.20,57,29.2,70
Philippines,PHL,Asia and the Pacific,South Asia,,"Corazon Aquino, Gloria Macapagal Arroyo",2,10.34,142,28.05,58,17.74,69,29,40,27.9,77
Poland,POL,Europe,Eastern Europe,,"Hanna Suchocka, Ewa Kopacz, Beata Szydło",3,27.27,56,27.86,59,40.98,12,26.90,51,37.7,43
Portugal,PRT,Europe,Western Europe,,Maria de Lourdes Pintasilgo,1,29.41,43,38.70,23,-1,-1,-1,-1,35.1,50
Qatar,QAT,Middle East and North Africa,Middle East,,,0,7.14,157,9.76,170,-1,-1,-2,-2,6.2,183
Republic of Congo,COG,Sub-Saharan Africa,Central Africa,,,0,23.53,75,13.64,149,-1,-1,-1,-1,15.5,131
South Korea,KOR,Asia and the Pacific,East Asia,,Park Geun-hye,1,22.22,83,16.67,131,9.07,97,18.60,76,17.4,124
Romania,ROU,Europe,Southeastern Europe,,Viorica Dăncilă,1,28,51,19.57,111,27.75,48,12.50,96,23.7,87
Russia,RUS,Russia and Central Asia,Russia,,,0,12.90,134,16.45,132,-1,-1,-1,-1,11.5,160
Rwanda,RWA,Sub-Saharan Africa,East Africa,,Agathe Uwilingiyimana,1,51.85,1,55.66,1,-1,-1,-1,-1,67,4
Saint Kitts and Nevis,KNA,Americas,Caribbean,,,0,11.11,140,13.33,152,4.55,113,-2,-2,8.2,174
Saint Lucia,LCA,Americas,Caribbean,,,0,23.08,78,20.69,99,15.38,78,-2,-2,18.6,116
Saint Vincent and the Grenadines,VCT,Americas,Caribbean,,,0,0,178,13.04,156,13.95,82,-2,-2,7.8,176
Samoa,WSM,Asia and the Pacific,Australasia and Pacific,,,0,21.43,90,10,169,14.04,81,-2,-2,13.7,142
San Marino,SMR,Europe,Western Europe,,,0,14.29,123,25,68,40.07,15,-2,-2,29.2,70
Sao Tome and Principe,STP,Sub-Saharan Africa,West Africa,,"Maria das Neves, Maria do Carmo Silveira",2,33.33,33,14.55,144,-1,-1,-1,-1,23.6,88
Saudi Arabia,SAU,Middle East and North Africa,Middle East,,,0,0,178,19.87,109,-1,-1,1.10,112,6.5,180
Senegal,SEN,Sub-Saharan Africa,West Africa,,"Mame Madior Boye, Aminata Touré",2,22.86,81,41.82,13,-1,-1,47.60,5,49,19
Serbia,SRB,Europe,Southeastern Europe,Ana Brnabić,Ana Brnabić (current),1,19.05,100,37.65,29,38.20,18,31.20,36,38.9,34
Seychelles,SYC,Sub-Saharan Africa,East Africa,,,0,45.45,12,21.21,94,26.32,51,-1,-1,36.5,46
Sierra Leone,SLE,Sub-Saharan Africa,West Africa,,,0,18.52,104,12.33,158,12.58,88,18.20,79,14.7,135
Singapore,SGP,Asia and the Pacific,South Asia,Halimah Yacob,Halimah Yacob (current),1,16.67,111,23,81,19.34,66,-2,-2,19.3,112
Slovakia,SVK,Europe,Eastern Europe,Zuzana Čaputová,"Iveta Radičová, Zuzana Čaputová (current)",2,35.71,27,20,106,32.86,30,25.90,61,33.5,58
Slovenia,SVN,Europe,Southeastern Europe,,Alenka Bratušek,1,25,64,22.31,87,44.19,6,33.60,27,38.8,35
Solomon Islands,SLB,Asia and the Pacific,Australasia and Pacific,,,0,4.35,172,4.08,186,7.81,104,-1,-1,4.3,189
Somalia,SOM,Sub-Saharan Africa,East Africa,,,0,14.81,121,24.32,73,-1,-1,-2,-2,16.5,128
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,,,0,48.57,10,44.87,9,-1,-1,40.70,13,61.1,7
South Sudan,SSD,Sub-Saharan Africa,East Africa,,,0,18.75,102,26.56,63,-1,-1,-1,-1,19.8,104
Spain,ESP,Europe,Western Europe,,,0,64.71,1,44.03,11,-1,-1,33.80,26,57.5,12
Sri Lanka,LKA,Asia and the Pacific,South Asia,,"Sirimavo Bandaranaike, Chandrika Kumaratunga",2,6.67,160,5.33,182,9.04,98,-1,-1,16.6,127
Sudan,SDN,Sub-Saharan Africa,East Africa,,,0,9.52,147,-2,-2,-2,-2,-1,-1,5.3,187
Suriname,SUR,Americas,South America,,,0,29.41,43,31.37,47,33.07,29,35.60,22,38.4,38
Sweden,SWE,Europe,Northern Europe,,,0,54.55,1,47.28,6,43.50,7,43.80,11,68.9,2
Switzerland,CHE,Europe,Western Europe,,"Ruth Dreifuss, Micheline Calmy-Rey, Doris Leuthard, Eveline Widmer-Schlumpf, Simonetta Sommaruga",5,42.86,13,38.62,24,40.32,13,31.30,35,52.3,16
Syria,SYR,Middle East and North Africa,Middle East,,,0,13.33,130,13.20,154,-1,-1,7.1,105,9.6,167
Tajikistan,TJK,Russia and Central Asia,Central Asia,,,0,5.88,167,20,106,10.53,94,-1,-1,10.8,163
Thailand,THA,Asia and the Pacific,South Asia,,Yingluck Shinawatra,1,0,178,14.13,146,22.27,58,17.40,81,14.1,139
Togo,TGO,Sub-Saharan Africa,West Africa,,,0,16.67,111,16.48,132,-1,-1,-2,-2,13.2,149
Tonga,TON,Asia and the Pacific,Australasia and Pacific,,,0,8.33,151,7.41,176,17.44,72,-1,-1,9.6,167
Trinidad and Tobago,TTO,Americas,Caribbean,Paula-Mae Weekes,"Kamla Persad-Bissessar, Paula-Mae Weekes (current)",2,33.33,33,32.88,43,-1,-1,-1,-1,36.5,46
Tunisia,TUN,Middle East and North Africa,North Africa,,,0,10,143,22.58,86,-1,-1,48.50,3,33.6,57
Turkey,TUR,Europe,Southeastern Europe,,Tansu Çiller,1,11.76,137,17.45,124,21.52,61,9.90,101,15.3,133
Turkmenistan,TKM,Russia and Central Asia,Central Asia,,,0,7.14,157,25,68,-1,-1,-1,-1,13.7,142
Tuvalu,TUV,Asia and the Pacific,Australasia and Pacific,,,0,12.50,135,6.25,179,6.25,107,-1,-1,6.9,178
Uganda,UGA,Sub-Saharan Africa,East Africa,,,0,36.67,24,34.86,36,28.28,47,45.70,7,47,22
Ukraine,UKR,Europe,Eastern Europe,,Yulia Tymoshenko,1,20.83,95,20.52,103,22.54,56,-1,-1,21.3,98
United Arab Emirates,ARE,Middle East and North Africa,Middle East,,,0,29.03,48,35.00,35,36.61,20,-2,-2,38.1,41
United Kingdom,GBR,Europe,Western Europe,,"Margaret Thatcher, Theresa May",2,21.74,88,28.91,56,-1,-1,-1,-1,30.9,62
Tanzania,TZA,Sub-Saharan Africa,Southern Africa,,,0,22.73,82,36.90,31,19.04,67,30.10,39,30.9,62
United States,USA,Americas,North America,,,0,21.74,88,23.87,76,-1,-1,-1,-1,19.7,106
Uruguay,URY,Americas,South America,,,0,42.86,13,20.93,98,-1,-1,26.10,59,34.2,54
Uzbekistan,UZB,Russia and Central Asia,Central Asia,,,0,7.69,155,16.40,134,-1,-1,-1,-1,9.3,170
Vanuatu,VUT,Asia and the Pacific,Australasia and Pacific,,,0,0,178,0,190,4.92,111,9.40,103,3.1,191
Venezuela,VEN,Americas,South America,,,0,29.41,43,22.16,88,37.30,19,-1,-1,32.4,59
Vietnam,VNM,Asia and the Pacific,South Asia,,,0,4,174,26.72,62,38.97,17,26.80,53,28.2,75
Yemen,YEM,Middle East and North Africa,Middle East,,,0,6.45,164,0.97,189,-1,-1,0.50,113,2.1,192
Zambia,ZMB,Sub-Saharan Africa,Southern Africa,,,0,30,42,17.96,120,16.28,75,-1,-1,21.1,99
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,,,0,27.27,56,34.57,37,14.71,80,12,97,24.2,86
